Analysis Type	NCBI BioProject ID (Strain 1)	Strain 1	GI (Strain 1)	Locus Tag (Strain 1)	NCBI RefSeq Accession (Strain 1)	Description (Strain 1)	NCBI BioProject ID (Strain 2)	Strain 2	GI (Strain 2)	Locus Tag (Strain 2)	NCBI RefSeq Accession (Strain 2)	Description (Strain 2)	Inparalogs	Strain 1 Inparalogs (Locus Tag/Name)	Strain 2 Inparalogs (Locus Tag/Name)	Ortholuge Class
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053744	PA14_00280	WP_003097311.1	coproporphyrinogen III oxidase	59275	Pseudomonas aeruginosa LESB58	218888770	PLES_00231	WP_012613421.1	coproporphyrinogen III oxidase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053745	PA14_00290	WP_003097314.1	shikimate 5-dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218888771	PLES_00241	WP_003111201.1	shikimate 5-dehydrogenase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053746	PA14_00300	WP_003097316.1	phospholipase C, PlcB	59275	Pseudomonas aeruginosa LESB58	218888772	PLES_00251	WP_012613422.1	phospholipase C, PlcB				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053747	PA14_00310	WP_003142206.1	putative peptidyl-prolyl isomerase	59275	Pseudomonas aeruginosa LESB58	218888773	PLES_00261	WP_003158560.1	putative peptidyl-prolyl isomerase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053748	PA14_00320	WP_003131389.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888774	PLES_00271	WP_012613423.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053749	PA14_00340	WP_003097320.1	putative sulfate transporter	59275	Pseudomonas aeruginosa LESB58	218888775	PLES_00281	WP_003114638.1	putative sulfate transporter				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053750	PA14_00360	WP_003097322.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888776	PLES_00291	WP_003118485.1	putative glycine betaine/L-proline ABC transporter, periplasmic substrate-binding protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053751	PA14_00380	WP_003142209.1	choline sulfatase	59275	Pseudomonas aeruginosa LESB58	218888777	PLES_00301	WP_003097323.1	choline sulfatase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053752	PA14_00400	WP_003111194.1	LysR family transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218888778	PLES_00311	WP_003122286.1	putative transcriptional regulator				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053754	PA14_00420	WP_003097330.1	histidine phosphotransfer domain-containing protein	59275	Pseudomonas aeruginosa LESB58	218888779	PLES_00321	WP_012613424.1	putative histidine phosphotransfer domain				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053755	PA14_00430	WP_003111192.1	putative two-component response regulator	59275	Pseudomonas aeruginosa LESB58	218888780	PLES_00331	WP_003111192.1	putative two-component response regulator				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053756	PA14_00440	WP_003097337.1	tryptophan synthase subunit alpha	59275	Pseudomonas aeruginosa LESB58	218888781	PLES_00341	WP_003158557.1	tryptophan synthase subunit alpha				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053757	PA14_00450	WP_003142212.1	tryptophan synthase subunit beta	59275	Pseudomonas aeruginosa LESB58	218888782	PLES_00351	WP_003097340.1	tryptophan synthase subunit beta				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053758	PA14_00460	WP_031632881.1	transcriptional regulator TrpI	59275	Pseudomonas aeruginosa LESB58	218888783	PLES_00361	WP_031634136.1	transcriptional regulator TrpI				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053759	PA14_00470	WP_003097345.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888784	PLES_00371	WP_003097345.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053760	PA14_00480	WP_003108017.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888785	PLES_00381	WP_003108017.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053761	PA14_00490	WP_011666522.1	putative hemolysin activation/secretion protein	59275	Pseudomonas aeruginosa LESB58	218888786	PLES_00391	WP_012613426.1	putative hemolysin activation/secretion protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053762	PA14_00510	WP_031641739.1	putative hemagglutinin	59275	Pseudomonas aeruginosa LESB58	218888787	PLES_00401	WP_038404304.1	putative hemagglutinin				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053763	PA14_00520	YP_788198.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888788	PLES_00411	WP_003115819.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053764	PA14_00530	WP_003083536.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888790	PLES_00431	WP_003083536.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053765	PA14_00550	WP_016254350.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888791	PLES_00441	WP_010792420.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053766	PA14_00560	WP_003136948.1	exoenzyme T	59275	Pseudomonas aeruginosa LESB58	218888792	PLES_00451	WP_012613430.1	exoenzyme T				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053767	PA14_00570	WP_003083559.1	putative lipoprotein	59275	Pseudomonas aeruginosa LESB58	218888793	PLES_00461	WP_003104306.1	putative lipoprotein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053768	PA14_00580	WP_003083569.1	putative lipoprotein	59275	Pseudomonas aeruginosa LESB58	218888794	PLES_00471	WP_003083569.1	putative lipoprotein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053769	PA14_00590	WP_003083573.1	putative lipoprotein	59275	Pseudomonas aeruginosa LESB58	218888795	PLES_00481	WP_003083573.1	putative lipoprotein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053770	PA14_00600	WP_003104304.1	putative transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218888796	PLES_00491	WP_012613431.1	putative transcriptional regulator				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053771	PA14_00620	WP_003136949.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888797	PLES_00501	WP_012613432.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053773	PA14_00640	WP_003111526.1	potential phenazine-modifying enzyme	59275	Pseudomonas aeruginosa LESB58	218888798	PLES_00521	WP_012613433.1	potential phenazine-modifying enzyme				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053774	PA14_00650	WP_003083588.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888799	PLES_00531	WP_003083588.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053776	PA14_00670	WP_003083593.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888800	PLES_00561	WP_003083593.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053777	PA14_00680	WP_003128174.1	LysR family transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218888801	PLES_00571	WP_003083596.1	putative transcriptional regulator				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053778	PA14_00690	WP_003083599.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888802	PLES_00581	WP_003083599.1	putative metallo-beta-lactamase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053779	PA14_00700	WP_003136951.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888803	PLES_00591	WP_012613434.1	putative protein-disulfide isomerase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053780	PA14_00710	WP_003083605.1	osmotically inducible protein OsmC	59275	Pseudomonas aeruginosa LESB58	218888804	PLES_00601	WP_003083605.1	osmotically inducible protein OsmC				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053781	PA14_00720	WP_003114662.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888805	PLES_00611	WP_003083610.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053782	PA14_00730	WP_003083612.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888806	PLES_00621	WP_003083612.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053783	PA14_00740	WP_011666524.1	putative lipoprotein	59275	Pseudomonas aeruginosa LESB58	218888807	PLES_00631	WP_003083614.1	putative lipoprotein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053784	PA14_00750	WP_031627644.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888808	PLES_00641	WP_003114661.1	putative aminopeptidase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053785	PA14_00760	WP_003114660.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888809	PLES_00651	WP_003114660.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053786	PA14_00770	WP_003106611.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888810	PLES_00661	WP_003106611.1	putative phosphatase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053787	PA14_00780	WP_003106612.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888811	PLES_00671	WP_003106612.1	putative carbonic anhydrases				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053788	PA14_00790	WP_003136955.1	oligopeptidase A	59275	Pseudomonas aeruginosa LESB58	218888812	PLES_00681	WP_003083621.1	oligopeptidase A				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053789	PA14_00800	WP_003083624.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888813	PLES_00691	WP_003083624.1	putative nucleic-acid-binding protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053790	PA14_00810	WP_003083628.1	putative DNA repair photolyase	59275	Pseudomonas aeruginosa LESB58	218888814	PLES_00701	WP_003083628.1	putative DNA repair photolyase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053791	PA14_00820	WP_003083630.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888815	PLES_00711	WP_003106614.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053792	PA14_00830	WP_003083632.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888816	PLES_00721	WP_003106615.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053793	PA14_00850	WP_003136958.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888817	PLES_00731	WP_003083634.1	putative permease				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053794	PA14_00860	WP_031627645.1	putative ATP-binding component of ABC transporter	59275	Pseudomonas aeruginosa LESB58	218888818	PLES_00741	WP_024082387.1	putative ATP-binding component of ABC transporter				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116054435	PA14_00875	WP_003136961.1	serine/threonine protein kinase PpkA	59275	Pseudomonas aeruginosa LESB58	218888819	PLES_00751	WP_004351957.1	serine/threonine protein kinase PpkA				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053795	PA14_00890	WP_003083639.1	putative phosphoprotein phosphatase	59275	Pseudomonas aeruginosa LESB58	218888820	PLES_00761	WP_012613435.1	putative phosphoprotein phosphatase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053796	PA14_00900	WP_003083642.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888821	PLES_00771	WP_003106966.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053797	PA14_00910	WP_003111851.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888822	PLES_00781	WP_024082388.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116054405	PA14_00925	WP_003115051.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888823	PLES_00791	WP_012613437.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053798	PA14_00940	WP_003115052.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888824	PLES_00801	WP_003115052.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053799	PA14_00960	WP_003083660.1	putative lipoprotein	59275	Pseudomonas aeruginosa LESB58	218888825	PLES_00811	WP_003083660.1	putative lipoprotein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053801	PA14_00980	YP_788238.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888826	PLES_00821	WP_012613438.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053802	PA14_00990	WP_003111627.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888827	PLES_00831	WP_003104975.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053803	PA14_01010	WP_003083666.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888828	PLES_00841	WP_003083666.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053804	PA14_01020	WP_003111626.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888829	PLES_00851	WP_003104973.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053805	PA14_01030	WP_003083670.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888830	PLES_00861	WP_003083670.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053806	PA14_01040	WP_003083672.1	putative secretion protein	59275	Pseudomonas aeruginosa LESB58	218888831	PLES_00871	WP_003083672.1	putative secretion protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053807	PA14_01060	WP_003111625.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888832	PLES_00881	WP_003104971.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053808	PA14_01070	WP_003083676.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888833	PLES_00891	WP_003083676.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053809	PA14_01080	WP_003104969.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888834	PLES_00901	WP_003104969.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053810	PA14_01100	WP_003136970.1	putative ClpA/B-type chaperone	59275	Pseudomonas aeruginosa LESB58	218888835	PLES_00911	WP_012613439.1	putative ClpA/B-type chaperone				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053811	PA14_01110	WP_015502131.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888836	PLES_00921	WP_003104964.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053812	PA14_01120	WP_003111794.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888837	PLES_00931	WP_003104961.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053814	PA14_01140	WP_003083691.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888838	PLES_00941	WP_003104959.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053815	PA14_01150	WP_003083692.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888839	PLES_00951	WP_003083692.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053816	PA14_01160	WP_011666529.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888840	PLES_00961	WP_012613440.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053817	PA14_01170	WP_003136987.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888841	PLES_00971	WP_003101196.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053818	PA14_01180	WP_016254347.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888842	PLES_00981	WP_023105767.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053819	PA14_01190	WP_003136990.1	3-oxoacyl-(acyl carrier protein) synthase	59275	Pseudomonas aeruginosa LESB58	218888843	PLES_00991	WP_012613442.1	3-oxoacyl-(acyl carrier protein) synthase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053820	PA14_01200	WP_003136992.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888844	PLES_01001	WP_012613443.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053821	PA14_01220	WP_003136994.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888845	PLES_01011	WP_003110650.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053822	PA14_01230	WP_003136996.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888846	PLES_01021	WP_012613444.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053823	PA14_01240	WP_003083701.1	carbonic anhydrase	59275	Pseudomonas aeruginosa LESB58	218888847	PLES_01031	WP_003083701.1	putative carbonic anhydrase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053824	PA14_01250	WP_003136999.1	putative sulfate transporter	59275	Pseudomonas aeruginosa LESB58	218888848	PLES_01041	WP_012613445.1	putative sulfate transporter				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053825	PA14_01270	YP_788262.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888849	PLES_01051	YP_002437713	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053826	PA14_01290	WP_003101203.1	cytochrome c oxidase, subunit II	59275	Pseudomonas aeruginosa LESB58	218888850	PLES_01061	WP_003101203.1	cytochrome c oxidase, subunit II				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053827	PA14_01300	WP_003083723.1	cytochrome c oxidase, subunit I	59275	Pseudomonas aeruginosa LESB58	218888851	PLES_01071	WP_003083723.1	cytochrome c oxidase, subunit I				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053828	PA14_01310	WP_003083725.1	cytochrome C oxidase assembly protein	59275	Pseudomonas aeruginosa LESB58	218888852	PLES_01081	WP_003083725.1	cytochrome C oxidase assembly protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053829	PA14_01320	WP_003083728.1	cytochrome c oxidase, subunit III	59275	Pseudomonas aeruginosa LESB58	218888853	PLES_01091	WP_003115030.1	cytochrome c oxidase, subunit III				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053830	PA14_01330	WP_003110653.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888854	PLES_01101	WP_003110653.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053831	PA14_01340	WP_003115031.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888855	PLES_01111	WP_003162765.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053832	PA14_01350	WP_003101218.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888856	PLES_01121	WP_003101218.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053833	PA14_01360	WP_003137003.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888857	PLES_01131	WP_003117203.1	putative cytochrome oxidase assembly protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053834	PA14_01380	WP_003083746.1	protoheme IX farnesyltransferase	59275	Pseudomonas aeruginosa LESB58	218888858	PLES_01141	WP_003083746.1	protoheme IX farnesyltransferase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053835	PA14_01390	WP_003083748.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888859	PLES_01151	WP_003119511.1	putative Sco1/SenC family protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053836	PA14_01400	WP_003083750.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888860	PLES_01161	WP_003083750.1	putative acyltransferase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053837	PA14_01410	WP_003083753.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888861	PLES_01171	WP_003101222.1	putative transcriptional regulator				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053838	PA14_01430	WP_003083755.1	putative short chain dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218888862	PLES_01181	WP_003083755.1	putative short chain dehydrogenase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053839	PA14_01440	WP_003083757.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888863	PLES_01191	WP_003119512.1	putative 2-hydroxychromene-2-carboxylate isomerase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053840	PA14_01460	WP_003083759.1	C4-dicarboxylate transporter DctA	59275	Pseudomonas aeruginosa LESB58	218888864	PLES_01201	WP_025207746.1	C4-dicarboxylate transporter DctA				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053841	PA14_01470	WP_003083762.1	putative transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218888865	PLES_01211	WP_003083762.1	putative transcriptional regulator				
