Analysis Type	NCBI BioProject ID (Strain 1)	Strain 1	GI (Strain 1)	Locus Tag (Strain 1)	NCBI RefSeq Accession (Strain 1)	Description (Strain 1)	NCBI BioProject ID (Strain 2)	Strain 2	GI (Strain 2)	Locus Tag (Strain 2)	NCBI RefSeq Accession (Strain 2)	Description (Strain 2)	Inparalogs	Strain 1 Inparalogs (Locus Tag/Name)	Strain 2 Inparalogs (Locus Tag/Name)	Ortholuge Class
rbb	57945	Pseudomonas aeruginosa PAO1	15595221	PA0023	NP_248713.1	quinone oxidoreductase	59275	Pseudomonas aeruginosa LESB58	218888769	PLES_00221	WP_012613420.1	quinone oxidoreductase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595222	PA0024	NP_248714.1	coproporphyrinogen III oxidase	59275	Pseudomonas aeruginosa LESB58	218888770	PLES_00231	WP_012613421.1	coproporphyrinogen III oxidase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595223	PA0025	NP_248715.1	shikimate 5-dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218888771	PLES_00241	WP_003111201.1	shikimate 5-dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595224	PA0026	NP_248716.1	phospholipase C, PlcB	59275	Pseudomonas aeruginosa LESB58	218888772	PLES_00251	WP_012613422.1	phospholipase C, PlcB				
rbb	57945	Pseudomonas aeruginosa PAO1	15595225	PA0027	NP_248717.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888773	PLES_00261	WP_003158560.1	putative peptidyl-prolyl isomerase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595226	PA0028	NP_248718.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888774	PLES_00271	WP_012613423.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595227	PA0029	NP_248719.1	sulfate transporter	59275	Pseudomonas aeruginosa LESB58	218888775	PLES_00281	WP_003114638.1	putative sulfate transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15595228	PA0030	NP_248720.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888776	PLES_00291	WP_003118485.1	putative glycine betaine/L-proline ABC transporter, periplasmic substrate-binding protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595229	PA0031	NP_248721.1	choline sulfatase	59275	Pseudomonas aeruginosa LESB58	218888777	PLES_00301	WP_003097323.1	choline sulfatase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595230	PA0032	NP_248722.1	transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218888778	PLES_00311	WP_003122286.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595231	PA0033	NP_248723.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888779	PLES_00321	WP_012613424.1	putative histidine phosphotransfer domain				
rbb	57945	Pseudomonas aeruginosa PAO1	15595232	PA0034	NP_248724.1	two-component response regulator	59275	Pseudomonas aeruginosa LESB58	218888780	PLES_00331	WP_003111192.1	putative two-component response regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595233	PA0035	NP_248725.1	tryptophan synthase subunit alpha	59275	Pseudomonas aeruginosa LESB58	218888781	PLES_00341	WP_003158557.1	tryptophan synthase subunit alpha				
rbb	57945	Pseudomonas aeruginosa PAO1	15595234	PA0036	NP_248726.1	tryptophan synthase subunit beta	59275	Pseudomonas aeruginosa LESB58	218888782	PLES_00351	WP_003097340.1	tryptophan synthase subunit beta				
rbb	57945	Pseudomonas aeruginosa PAO1	15595235	PA0037	NP_248727.1	transcriptional regulator TrpI	59275	Pseudomonas aeruginosa LESB58	218888783	PLES_00361	WP_031634136.1	transcriptional regulator TrpI				
rbb	57945	Pseudomonas aeruginosa PAO1	15595236	PA0038	NP_248728.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888784	PLES_00371	WP_003097345.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595237	PA0039	NP_248729.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888785	PLES_00381	WP_003108017.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595238	PA0040	NP_248730.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888786	PLES_00391	WP_012613426.1	putative hemolysin activation/secretion protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595239	PA0041	NP_248731.1	hemagglutinin	59275	Pseudomonas aeruginosa LESB58	218888787	PLES_00401	WP_038404304.1	putative hemagglutinin				
rbb	57945	Pseudomonas aeruginosa PAO1	15595240	PA0042	NP_248732.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888790	PLES_00431	WP_003083536.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595241	PA0043	NP_248733.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888791	PLES_00441	WP_010792420.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595242	PA0044	NP_248734.1	exoenzyme T	59275	Pseudomonas aeruginosa LESB58	218888792	PLES_00451	WP_012613430.1	exoenzyme T				
rbb	57945	Pseudomonas aeruginosa PAO1	15595243	PA0045	NP_248735.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888793	PLES_00461	WP_003104306.1	putative lipoprotein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595244	PA0046	NP_248736.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888794	PLES_00471	WP_003083569.1	putative lipoprotein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595245	PA0047	NP_248737.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888795	PLES_00481	WP_003083573.1	putative lipoprotein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595246	PA0048	NP_248738.1	transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218888796	PLES_00491	WP_012613431.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595247	PA0049	NP_248739.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888797	PLES_00501	WP_012613432.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595249	PA0051	NP_248741.1	potential phenazine-modifying enzyme	59275	Pseudomonas aeruginosa LESB58	218888798	PLES_00521	WP_012613433.1	potential phenazine-modifying enzyme				
rbb	57945	Pseudomonas aeruginosa PAO1	15595250	PA0052	NP_248742.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888799	PLES_00531	WP_003083588.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595253	PA0055	NP_248745.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888800	PLES_00561	WP_003083593.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595254	PA0056	NP_248746.1	transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218888801	PLES_00571	WP_003083596.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595255	PA0057	NP_248747.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888802	PLES_00581	WP_003083599.1	putative metallo-beta-lactamase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595256	PA0058	NP_248748.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888803	PLES_00591	WP_012613434.1	putative protein-disulfide isomerase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595257	PA0059	NP_248749.1	osmotically inducible protein OsmC	59275	Pseudomonas aeruginosa LESB58	218888804	PLES_00601	WP_003083605.1	osmotically inducible protein OsmC				
rbb	57945	Pseudomonas aeruginosa PAO1	15595258	PA0060	NP_248750.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888805	PLES_00611	WP_003083610.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595259	PA0061	NP_248751.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888806	PLES_00621	WP_003083612.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595260	PA0062	NP_248752.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888807	PLES_00631	WP_003083614.1	putative lipoprotein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595261	PA0063	NP_248753.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888808	PLES_00641	WP_003114661.1	putative aminopeptidase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595262	PA0064	NP_248754.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888809	PLES_00651	WP_003114660.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595263	PA0065	NP_248755.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888810	PLES_00661	WP_003106611.1	putative phosphatase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595264	PA0066	NP_248756.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888811	PLES_00671	WP_003106612.1	putative carbonic anhydrases				
rbb	57945	Pseudomonas aeruginosa PAO1	15595265	PA0067	NP_248757.1	oligopeptidase A	59275	Pseudomonas aeruginosa LESB58	218888812	PLES_00681	WP_003083621.1	oligopeptidase A				
rbb	57945	Pseudomonas aeruginosa PAO1	15595266	PA0068	NP_248758.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888813	PLES_00691	WP_003083624.1	putative nucleic-acid-binding protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595267	PA0069	NP_248759.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888814	PLES_00701	WP_003083628.1	putative DNA repair photolyase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595268	PA0070	NP_248760.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888815	PLES_00711	WP_003106614.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595269	PA0071	NP_248761.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888816	PLES_00721	WP_003106615.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595270	PA0072	NP_248762.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888817	PLES_00731	WP_003083634.1	putative permease				
rbb	57945	Pseudomonas aeruginosa PAO1	15595271	PA0073	NP_248763.1	ATP-binding component of ABC transporter	59275	Pseudomonas aeruginosa LESB58	218888818	PLES_00741	WP_024082387.1	putative ATP-binding component of ABC transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15595272	PA0074	NP_248764.1	serine/threonine protein kinase PpkA	59275	Pseudomonas aeruginosa LESB58	218888819	PLES_00751	WP_004351957.1	serine/threonine protein kinase PpkA				
rbb	57945	Pseudomonas aeruginosa PAO1	15595273	PA0075	NP_248765.1	PppA	59275	Pseudomonas aeruginosa LESB58	218888820	PLES_00761	WP_012613435.1	putative phosphoprotein phosphatase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595274	PA0076	NP_248766.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888821	PLES_00771	WP_003106966.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595275	PA0077	NP_248767.1	IcmF1	59275	Pseudomonas aeruginosa LESB58	218888822	PLES_00781	WP_024082388.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595276	PA0078	NP_248768.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888823	PLES_00791	WP_012613437.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595277	PA0079	NP_248769.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888824	PLES_00801	WP_003115052.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595278	PA0080	NP_248770.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888825	PLES_00811	WP_003083660.1	putative lipoprotein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595279	PA0081	NP_248771.1	Fha1	59275	Pseudomonas aeruginosa LESB58	218888826	PLES_00821	WP_012613438.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595280	PA0082	NP_248772.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888827	PLES_00831	WP_003104975.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595281	PA0083	NP_248773.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888828	PLES_00841	WP_003083666.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595282	PA0084	NP_248774.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888829	PLES_00851	WP_003104973.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595283	PA0085	NP_248775.1	Hcp1	59275	Pseudomonas aeruginosa LESB58	218888830	PLES_00861	WP_003083670.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595284	PA0086	NP_248776.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888831	PLES_00871	WP_003083672.1	putative secretion protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595285	PA0087	NP_248777.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888832	PLES_00881	WP_003104971.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595286	PA0088	NP_248778.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888833	PLES_00891	WP_003083676.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595287	PA0089	NP_248779.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888834	PLES_00901	WP_003104969.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595288	PA0090	NP_248780.1	ClpV1	59275	Pseudomonas aeruginosa LESB58	218888835	PLES_00911	WP_012613439.1	putative ClpA/B-type chaperone				
rbb	57945	Pseudomonas aeruginosa PAO1	15595289	PA0091	NP_248781.1	VgrG1	59275	Pseudomonas aeruginosa LESB58	218888836	PLES_00921	WP_003104964.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595290	PA0092	NP_248782.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888837	PLES_00931	WP_003104961.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595291	PA0093	NP_248783.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888838	PLES_00941	WP_003104959.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595292	PA0094	NP_248784.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888839	PLES_00951	WP_003083692.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595293	PA0095	NP_248785.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888840	PLES_00961	WP_012613440.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595294	PA0096	NP_248786.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888841	PLES_00971	WP_003101196.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595295	PA0097	NP_248787.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888842	PLES_00981	WP_023105767.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595296	PA0098	NP_248788.1	3-oxoacyl-(acyl carrier protein) synthase	59275	Pseudomonas aeruginosa LESB58	218888843	PLES_00991	WP_012613442.1	3-oxoacyl-(acyl carrier protein) synthase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595297	PA0099	NP_248789.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888844	PLES_01001	WP_012613443.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595298	PA0100	NP_248790.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888845	PLES_01011	WP_003110650.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595299	PA0101	NP_248791.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888846	PLES_01021	WP_012613444.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595300	PA0102	NP_248792.1	carbonic anhydrase	59275	Pseudomonas aeruginosa LESB58	218888847	PLES_01031	WP_003083701.1	putative carbonic anhydrase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595301	PA0103	NP_248793.1	sulfate transporter	59275	Pseudomonas aeruginosa LESB58	218888848	PLES_01041	WP_012613445.1	putative sulfate transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15595302	PA0104	NP_248794.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888849	PLES_01051	YP_002437713	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595303	PA0105	NP_248795.1	cytochrome C oxidase subunit II	59275	Pseudomonas aeruginosa LESB58	218888850	PLES_01061	WP_003101203.1	cytochrome c oxidase, subunit II				
rbb	57945	Pseudomonas aeruginosa PAO1	15595304	PA0106	NP_248796.1	cytochrome C oxidase subunit I	59275	Pseudomonas aeruginosa LESB58	218888851	PLES_01071	WP_003083723.1	cytochrome c oxidase, subunit I				
rbb	57945	Pseudomonas aeruginosa PAO1	15595305	PA0107	NP_248797.1	cytochrome C oxidase assembly protein	59275	Pseudomonas aeruginosa LESB58	218888852	PLES_01081	WP_003083725.1	cytochrome C oxidase assembly protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595306	PA0108	NP_248798.1	cytochrome C oxidase subunit III	59275	Pseudomonas aeruginosa LESB58	218888853	PLES_01091	WP_003115030.1	cytochrome c oxidase, subunit III				
rbb	57945	Pseudomonas aeruginosa PAO1	15595307	PA0109	NP_248799.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888854	PLES_01101	WP_003110653.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595308	PA0110	NP_248800.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888855	PLES_01111	WP_003162765.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595309	PA0111	NP_248801.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888856	PLES_01121	WP_003101218.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595310	PA0112	NP_248802.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888857	PLES_01131	WP_003117203.1	putative cytochrome oxidase assembly protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595311	PA0113	NP_248803.1	protoheme IX farnesyltransferase	59275	Pseudomonas aeruginosa LESB58	218888858	PLES_01141	WP_003083746.1	protoheme IX farnesyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595312	PA0114	NP_248804.1	SenC	59275	Pseudomonas aeruginosa LESB58	218888859	PLES_01151	WP_003119511.1	putative Sco1/SenC family protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595313	PA0115	NP_248805.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888860	PLES_01161	WP_003083750.1	putative acyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595314	PA0116	NP_248806.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888861	PLES_01171	WP_003101222.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595315	PA0117	NP_248807.1	short-chain dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218888862	PLES_01181	WP_003083755.1	putative short chain dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595316	PA0118	NP_248808.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888863	PLES_01191	WP_003119512.1	putative 2-hydroxychromene-2-carboxylate isomerase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595317	PA0119	NP_248809.1	C4-dicarboxylate transporter DctA	59275	Pseudomonas aeruginosa LESB58	218888864	PLES_01201	WP_025207746.1	C4-dicarboxylate transporter DctA				
rbb	57945	Pseudomonas aeruginosa PAO1	15595318	PA0120	NP_248810.1	transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218888865	PLES_01211	WP_003083762.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595319	PA0121	NP_248811.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888866	PLES_01221	WP_003117208.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595320	PA0122	NP_248812.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888867	PLES_01231	WP_003101225.1	putative hemolysin				
rbb	57945	Pseudomonas aeruginosa PAO1	15595321	PA0123	NP_248813.1	transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218888868	PLES_01241	WP_012613448.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595322	PA0124	NP_248814.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888869	PLES_01251	WP_003083773.1	putative plasmid stabilisation system protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595323	PA0125	NP_248815.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888870	PLES_01261	WP_003083775.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15595324	PA0126	NP_248816.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888871	PLES_01271	WP_003101226.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595325	PA0127	NP_248817.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888872	PLES_01281	WP_003101228.1	putative lipoprotein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595326	PA0128	NP_248818.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888873	PLES_01291	WP_003101229.1	putative alkylphosphonate uptake protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595327	PA0129	NP_248819.1	gamma-aminobutyrate permease	59275	Pseudomonas aeruginosa LESB58	218888874	PLES_01301	WP_003083784.1	gamma-aminobutyrate permease				
rbb	57945	Pseudomonas aeruginosa PAO1	15595328	PA0130	NP_248820.1	aldehyde dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218888875	PLES_01311	WP_003101230.1	putative aldehyde dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595329	PA0131	NP_248821.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888876	PLES_01321	WP_003083790.1	hypothetical protein				
